name,owner,createdAt,updatedAt,stargazers,releases,cbo_mean,cbo_median,cbo_std,dit_mean,dit_median,dit_std,lcom_mean,lcom_median,lcom_std,loc_total
analysis-ik,infinilabs,2011-12-16T09:01:45Z,2025-03-15T15:18:11Z,16862,1,4.891891891891892,4.0,3.4703808931504248,1.3783783783783785,1.0,0.4916723926983717,14.16216216216216,4.0,26.57433339136083,2379
JustAuth,justauth,2019-01-31T09:42:20Z,2025-03-15T16:34:38Z,16794,46,5.51010101010101,2.0,6.031844343369494,1.3434343434343434,1.0,0.5816415796170481,12.984848484848484,6.0,19.53195410590556,6054
Android-Universal-Image-Loader,nostra13,2011-11-27T18:48:23Z,2025-03-12T10:33:11Z,16778,0,4.864285714285714,3.0,4.877212782122245,1.5857142857142856,1.0,0.9595091242435804,28.84285714285714,0.5,99.8189923991249,7434
java8-tutorial,winterbe,2014-03-16T17:25:43Z,2025-03-14T17:20:37Z,16770,0,1.0340909090909092,1.0,1.0444034059687686,1.0,1.0,0.0,3.909090909090909,0.0,9.327547094292164,2081
zheng,shuzheng,2016-10-04T10:07:06Z,2025-03-15T12:57:35Z,16712,0,4.530451866404715,3.0,5.718249896780407,1.4086444007858543,1.0,0.4920669178544086,340.8565815324165,0.0,1786.342918011327,41742
material-components-android,material-components,2016-12-05T16:11:29Z,2025-03-15T16:56:36Z,16613,102,7.1041461006910165,4.0,8.215162890647917,1.5320829220138203,1.0,0.9697688690060986,89.63820335636723,1.0,924.3423591612476,111541
kestra,kestra-io,2019-08-24T13:56:15Z,2025-03-15T18:23:10Z,16474,202,8.171478060046189,6.0,8.598700445124425,1.3943418013856812,1.0,0.6906424765520989,13.165704387990765,0.0,78.2260254572182,56950
springboot-learning-example,JeffLi1993,2017-02-06T07:02:25Z,2025-03-15T09:53:32Z,16442,0,4.614035087719298,3.5,3.8684308220913857,1.043859649122807,1.0,0.2449616505002468,2.8508771929824563,0.0,6.032702114222473,1641
caffeine,ben-manes,2014-12-13T08:45:11Z,2025-03-15T03:14:19Z,16375,69,4.908124525436598,3.0,6.562412718630917,1.6294608959757024,1.0,1.475529094027736,146.89217919514047,0.0,1465.6836975049584,82248
DataX,alibaba,2018-01-18T10:09:47Z,2025-03-15T04:18:53Z,16290,7,4.487562189054726,3.0,5.783458557845843,1.720563847429519,1.0,1.5218546275970064,17.65174129353234,0.0,116.96524196034036,79597
